,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000183644.13,16.7891061,-4.605788989,0.195008967,-23.61834465,2.50E-123,9.48E-121
ENSG00000183671.12,24.82639708,-5.140846604,0.230342106,-22.31831032,2.45E-110,7.15E-108
ENSG00000183690.13,168.3810243,-2.51613278,0.153892769,-16.34990909,4.36E-60,2.00E-58
ENSG00000183696.14,835.1693946,-1.362339777,0.101371257,-13.43911296,3.57E-41,6.98E-40
NA.56,NA,NA,NA,NA,NA,NA
ENSG00000183734.4,27.39225368,-1.148168341,0.130785696,-8.77900548,1.65E-18,9.43E-18
ENSG00000183742.13,21.46522579,-2.26650904,0.173192792,-13.08662453,3.93E-39,6.97E-38
NA.57,NA,NA,NA,NA,NA,NA
ENSG00000183760.11,28.91637413,-1.069089056,0.225841202,-4.733808749,2.20E-06,5.15E-06
ENSG00000183773.15,967.3342505,-1.523897008,0.179866209,-8.472391887,2.40E-17,1.28E-16
NA.58,NA,NA,NA,NA,NA,NA
ENSG00000183798.5,763.7584316,-4.039704165,0.217605299,-18.56436487,6.24E-77,5.28E-75
ENSG00000183801.8,106.7828214,-1.797128041,0.107857203,-16.66210494,2.47E-62,1.21E-60
ENSG00000183813.7,6.457790033,-1.74393884,0.204330722,-8.534883173,1.40E-17,7.56E-17
ENSG00000183831.7,92.91394316,-2.042341517,0.128418377,-15.90381037,5.96E-57,2.31E-55
ENSG00000183833.16,169.967847,-1.085881696,0.140076741,-7.752048525,9.04E-15,4.04E-14
ENSG00000183840.7,15.61494805,-1.610792394,0.135104913,-11.92253014,9.03E-33,1.16E-31
ENSG00000183856.11,355.8473397,-1.383552648,0.163826857,-8.445212648,3.03E-17,1.60E-16
ENSG00000183873.18,51.27017771,-1.16874492,0.158649638,-7.366830041,1.75E-13,7.14E-13
ENSG00000183876.9,156.0467939,-1.637653358,0.146274825,-11.19572941,4.28E-29,4.55E-28
ENSG00000183908.7,2125.084332,-1.023890341,0.155691554,-6.576402621,4.82E-11,1.64E-10
ENSG00000183914.14,104.2826056,-1.633838519,0.156809129,-10.41928188,2.02E-25,1.74E-24
ENSG00000183918.17,14.12832088,-1.518687913,0.162948672,-9.320038588,1.16E-20,7.64E-20
ENSG00000183921.7,28.02419708,-1.388715849,0.180726144,-7.684089387,1.54E-14,6.77E-14
NA.59,NA,NA,NA,NA,NA,NA
ENSG00000184058.14,35.7730316,-1.946827579,0.158387319,-12.29156214,1.01E-34,1.43E-33
ENSG00000184106.8,4.498656246,-1.429811903,0.24570157,-5.819303086,5.91E-09,1.71E-08
ENSG00000184254.17,108.185747,-4.239769672,0.202445953,-20.94272378,2.19E-97,3.84E-95
ENSG00000184302.7,38.49384325,-3.506205575,0.436514545,-8.032276626,9.57E-16,4.57E-15
ENSG00000184303.5,0.392241674,-1.294839371,0.379864727,-3.408685457,0.000652767,0.00118597
ENSG00000184307.16,357.2739521,-2.160661053,0.167914956,-12.86759149,6.85E-38,1.12E-36
ENSG00000184344.4,0.301233423,-1.508172917,0.397709022,-3.792151631,0.000149348,0.0002908
ENSG00000184350.11,15.6951392,-1.772753492,0.207150311,-8.557812371,1.15E-17,6.22E-17
ENSG00000184454.7,43.74933076,-1.845183917,0.176541544,-10.45183967,1.44E-25,1.25E-24
ENSG00000184557.4,1315.967862,-1.895815403,0.201190753,-9.422974843,4.38E-21,2.96E-20
ENSG00000184566.3,1.360511216,-1.720923746,0.266575929,-6.45566069,1.08E-10,3.56E-10
ENSG00000184599.13,23.07788557,-3.324655951,0.146741775,-22.65650637,1.20E-113,3.73E-111
ENSG00000184661.14,102.163732,-1.369726249,0.168604548,-8.123898564,4.51E-16,2.20E-15
NA.60,NA,NA,NA,NA,NA,NA
ENSG00000184730.11,378.0880216,-1.19683567,0.110196124,-10.86095975,1.77E-27,1.73E-26
ENSG00000184731.6,160.6011712,-2.741501109,0.166287858,-16.48647797,4.59E-61,2.16E-59
ENSG00000184785.6,270.2942974,-1.358726186,0.106702448,-12.73378643,3.84E-37,6.12E-36
ENSG00000184809.13,244.3208209,-1.267799537,0.122724564,-10.3304465,5.13E-25,4.30E-24
ENSG00000184811.4,6.441122401,-1.29615683,0.190438009,-6.806187664,1.00E-11,3.59E-11
ENSG00000184895.8,2.793440415,-4.287858677,0.387965227,-11.05217266,2.14E-28,2.20E-27
ENSG00000184908.18,6.656728661,-1.73107448,0.145992104,-11.85731582,1.97E-32,2.49E-31
ENSG00000184937.16,23.06008283,-5.517510004,0.274774579,-20.08013271,1.10E-89,1.38E-87
NA.61,NA,NA,NA,NA,NA,NA
ENSG00000185055.11,37.48816253,-1.847858499,0.10443753,-17.69343352,4.71E-70,3.01E-68
ENSG00000185101.13,12.97929852,-1.505139,0.163715639,-9.193617737,3.80E-20,2.42E-19
ENSG00000185149.6,64.5815146,-2.296087061,0.218841428,-10.49201278,9.40E-26,8.27E-25
ENSG00000185155.12,10.63889387,-1.045590453,0.143009864,-7.311317028,2.65E-13,1.07E-12
NA.62,NA,NA,NA,NA,NA,NA
ENSG00000185215.11,1130.39678,-1.003371734,0.113858946,-8.812410209,1.22E-18,7.07E-18
ENSG00000185250.16,417.6884427,-1.208061341,0.091405683,-13.21647959,7.05E-40,1.31E-38
ENSG00000185290.4,10.30644151,-2.131471011,0.234760902,-9.079327056,1.09E-19,6.74E-19
NA.63,NA,NA,NA,NA,NA,NA
ENSG00000185338.6,65.90725388,-2.113871292,0.117635442,-17.96968029,3.37E-72,2.40E-70
ENSG00000185404.17,276.049691,-1.345160095,0.097956499,-13.73221902,6.51E-43,1.38E-41
ENSG00000185436.12,219.4467498,-1.100621539,0.138638939,-7.938761967,2.04E-15,9.52E-15
ENSG00000185437.13,26.88300127,-1.04060722,0.112971309,-9.211252173,3.22E-20,2.06E-19
ENSG00000185467.7,2.548068242,-2.681744642,0.228843856,-11.71866566,1.02E-31,1.23E-30
