"","ENSG00000277655.1","ENSG00000237187.9","ENSG00000146278.11","ENSG00000260851.7","ENSG00000262663.1","ENSG00000188585.9","ENSG00000138646.9","ENSG00000243316.7","ENSG00000148400.12","ENSG00000236712.1","ENSG00000286951.1","ENSG00000278395.1","ENSG00000275088.1","ENSG00000259130.2","ENSG00000277972.2","ENSG00000173930.9","ENSG00000251977.1","ENSG00000229169.1","ENSG00000254398.1","ENSG00000252651.1","ENSG00000214245.3","ENSG00000271803.1","ENSG00000267116.1","ENSG00000164070.12","ENSG00000236733.1","ENSG00000244255.5","ENSG00000168724.17","ENSG00000277391.1","ENSG00000184575.12","ENSG00000149451.18","ENSG00000233357.2","ENSG00000262730.1","ENSG00000223315.1","ENSG00000005486.17","ENSG00000159409.15","ENSG00000254820.1","ENSG00000243849.2","ENSG00000127241.18","ENSG00000204780.5","ENSG00000001626.16","ENSG00000265144.1","ENSG00000236797.1","ENSG00000252686.1","ENSG00000177173.5","ENSG00000224634.1","ENSG00000265014.1","ENSG00000006638.13","ENSG00000278497.1","ENSG00000230758.1","ENSG00000239614.1"
"TCGA-HT-7691-01A-11R-2256-07",0,3823,4472,2,7,0,1833,0,3441,0,2,0,37,4,1313,1,0,0,0,0,0,0,0,1849,0,0,1511,0,8210,200,0,0,0,10335,464,0,0,6586,0,65,1,10,0,4,0,0,44,0,2,0
"TCGA-CS-6670-01A-11R-1896-07",0,2430,3005,11,27,0,408,0,18754,0,2,0,3,16,865,4,0,0,3,0,0,1,0,1190,0,0,1282,0,7454,79,0,0,0,11706,4942,0,0,13039,0,118,0,2,0,0,0,0,128,0,1,0
"TCGA-FG-8187-01A-11R-2256-07",1,2220,3718,4,12,0,599,1,10963,1,0,0,5,23,794,10,0,0,2,0,0,1,0,815,0,0,1670,1,6688,125,0,0,0,7220,2465,0,3,6112,0,259,0,1,0,4,1,0,85,0,0,1
"TCGA-DU-7013-01A-11R-2027-07",1,1722,4946,2,12,0,1117,0,24651,0,0,0,1,1,1314,3,0,1,1,0,0,7,0,3387,0,0,1886,0,13208,1367,0,0,0,16300,3315,0,2,20378,0,66,0,2,0,6,0,0,167,0,0,5
"TCGA-WH-A86K-01A-11R-A36H-07",0,1645,2152,7,3,0,335,0,9493,0,0,0,2,2,744,2,0,0,0,0,0,0,0,367,0,0,984,0,5178,66,0,0,0,5712,978,0,4,4334,0,100,0,3,0,1,0,0,70,0,0,0
"TCGA-QH-A6CX-01A-11R-A32Q-07",0,1530,1848,0,13,0,949,0,5075,1,0,0,1,5,1047,0,0,0,3,0,1,1,0,923,0,0,1584,0,5142,231,0,0,0,8270,77,0,0,6637,0,110,0,7,0,5,0,0,92,0,1,2
"TCGA-HT-7684-01A-11R-2256-07",0,2414,3151,5,0,0,506,0,3350,0,0,0,5,14,758,1,0,0,0,0,0,0,0,1670,0,0,668,0,3639,14,1,0,0,7150,1201,0,1,8606,0,17,0,3,0,0,0,0,62,0,0,2
"TCGA-DU-5849-01A-11R-1708-07",1,2363,2780,7,6,0,410,1,18957,0,1,0,10,12,1033,12,0,0,9,0,0,0,0,2466,0,0,2158,0,9911,192,0,0,0,12861,5614,0,3,9771,0,202,0,2,0,3,0,0,68,0,0,1
"TCGA-DU-A76K-01A-11R-A33Z-07",1,2849,3381,1,13,0,1095,0,20366,0,1,0,52,14,996,19,0,0,5,0,0,6,0,1626,0,0,1801,1,6272,492,0,0,0,26658,3085,0,3,13490,0,157,0,3,0,1,0,0,52,0,0,0
"TCGA-TM-A84F-01A-11R-A36H-07",0,2093,3042,7,8,0,618,0,11722,1,0,0,3,13,803,8,0,0,4,0,0,0,0,483,0,0,1010,0,5202,461,0,0,0,6155,1099,0,2,5214,0,117,0,6,1,3,0,0,189,0,1,0
